Frecuencia,Glifo Poli Ag D 0.1v2,Glifo Poli Ag D 0.08v2,Glifo Poli Ag D 0.04v2,Glifo Poli Ag D 0.02v2,Glifo Poli Ag D 0.01v2,Poli Ag D Agua V2,KCl Poli Ag D 0.1v2,KCl Poli Ag D 0.08v2,KCl Poli Ag D 0.04v2,KCl Poli Ag D 0.02v2,KCl Poli Ag D 0.01v2
60504700,-10.58515,-10.11124,-5.71859,-3.2351,-2.01744,-0.15247,-14.73028,-12.96304,-6.74988,-3.47879,-1.79678
61904800,-10.48179,-10.01869,-5.68004,-3.21909,-2.00951,-0.15481,-14.52199,-12.80144,-6.70195,-3.46123,-1.7894
63305000,-10.40035,-9.92986,-5.65388,-3.21131,-2.00902,-0.16789,-14.34738,-12.65839,-6.65681,-3.44579,-1.78669
64705100,-10.2924,-9.84519,-5.61701,-3.19192,-1.99865,-0.16589,-14.17934,-12.51872,-6.61548,-3.4319,-1.78452
66105200,-10.19201,-9.75734,-5.57524,-3.17649,-1.99143,-0.17314,-13.99,-12.36794,-6.55931,-3.40637,-1.77127
67505300,-10.09572,-9.66666,-5.5487,-3.16008,-1.9827,-0.17384,-13.8206,-12.23798,-6.52252,-3.39557,-1.76926
68905400,-10.01099,-9.59435,-5.52185,-3.15192,-1.98195,-0.18752,-13.64774,-12.09012,-6.47706,-3.38132,-1.76856
70305500,-9.91753,-9.50839,-5.48561,-3.13588,-1.97221,-0.1886,-13.48663,-11.95127,-6.43382,-3.36092,-1.76103
71705600,-9.82658,-9.42853,-5.46008,-3.12908,-1.97267,-0.20344,-13.3351,-11.82251,-6.38774,-3.34267,-1.75834
73105700,-9.73609,-9.34477,-5.42289,-3.1095,-1.96379,-0.2048,-13.16575,-11.67798,-6.33749,-3.32581,-1.75448
74505800,-9.63842,-9.25855,-5.38908,-3.09663,-1.95988,-0.20961,-13.02112,-11.56585,-6.29888,-3.30857,-1.74993
75905900,-9.56095,-9.17787,-5.35566,-3.0866,-1.95426,-0.22252,-12.87483,-11.42064,-6.25612,-3.29325,-1.74954
77306100,-9.4761,-9.10765,-5.32577,-3.07462,-1.94916,-0.22844,-12.7205,-11.30792,-6.20687,-3.27703,-1.74281
78706200,-9.37587,-9.02265,-5.28953,-3.0532,-1.93932,-0.23238,-12.55793,-11.17487,-6.16017,-3.2545,-1.73665
80106300,-9.28366,-8.92693,-5.25001,-3.03807,-1.93057,-0.23333,-12.41471,-11.06055,-6.12282,-3.24167,-1.73524
81506400,-9.21166,-8.86741,-5.22369,-3.02489,-1.93436,-0.24466,-12.29276,-10.9409,-6.08205,-3.23138,-1.73476
82906500,-9.11743,-8.78184,-5.18599,-3.01351,-1.92345,-0.25586,-12.15097,-10.83421,-6.03385,-3.21768,-1.73851
84306600,-9.03315,-8.70052,-5.15229,-2.99237,-1.92262,-0.25967,-12.01191,-10.71483,-5.9915,-3.19787,-1.72799
85706700,-8.94699,-8.61742,-5.12208,-2.98026,-1.91002,-0.26422,-11.87796,-10.59133,-5.9512,-3.17596,-1.72442
87106800,-8.87446,-8.55247,-5.10192,-2.97874,-1.91803,-0.28215,-11.7704,-10.48789,-5.9077,-3.17103,-1.72848
88506900,-8.79665,-8.47607,-5.07447,-2.96747,-1.91929,-0.29281,-11.63232,-10.38464,-5.86388,-3.15369,-1.72999
89907000,-8.72501,-8.40678,-5.0428,-2.94666,-1.92198,-0.29703,-11.52019,-10.2825,-5.82444,-3.13651,-1.72326
91307200,-8.64412,-8.33243,-5.02044,-2.95014,-1.92176,-0.31927,-11.38263,-10.15872,-5.77975,-3.13051,-1.73431
92707300,-8.56265,-8.25961,-5.00079,-2.9441,-1.91686,-0.33317,-11.25166,-10.05457,-5.74394,-3.12301,-1.73951
94107400,-8.49461,-8.2113,-4.97764,-2.93834,-1.92792,-0.35826,-11.14667,-9.96725,-5.72112,-3.13013,-1.76605
95507500,-8.46268,-8.17401,-4.99039,-2.96507,-1.9527,-0.4055,-11.00788,-9.86762,-5.69146,-3.12889,-1.78263
96907600,-8.42927,-8.15712,-4.97587,-2.98193,-1.97442,-0.44995,-10.91616,-9.80256,-5.69014,-3.15746,-1.83148
98307700,-8.35586,-8.08309,-4.93136,-2.95433,-1.95424,-0.43539,-10.86723,-9.77253,-5.72348,-3.21265,-1.90294
99707800,-8.28763,-8.02083,-4.90991,-2.95265,-1.95567,-0.4549,-10.86059,-9.76317,-5.75148,-3.24963,-1.94497
101108000,-8.23659,-7.98897,-4.89662,-2.97416,-1.97014,-0.4932,-10.84644,-9.73729,-5.73211,-3.22773,-1.91991
102508000,-8.19543,-7.97797,-4.87801,-2.98405,-1.98809,-0.5185,-10.78094,-9.66142,-5.6544,-3.16127,-1.85149
103908000,-8.13055,-7.91993,-4.84141,-2.94714,-1.96489,-0.4936,-10.66563,-9.55292,-5.58282,-3.098,-1.80146
105308000,-8.05711,-7.84331,-4.78231,-2.90787,-1.92866,-0.45691,-10.55393,-9.43754,-5.50065,-3.05532,-1.76187
106708000,-7.96636,-7.75017,-4.74561,-2.8601,-1.90233,-0.44191,-10.43715,-9.3259,-5.44489,-3.00896,-1.73645
108108000,-7.88516,-7.65841,-4.6916,-2.82725,-1.88107,-0.42817,-10.31935,-9.22495,-5.37985,-2.97263,-1.71097
109509000,-7.80469,-7.57859,-4.64973,-2.79927,-1.864,-0.42342,-10.20317,-9.12276,-5.3217,-2.94417,-1.69392
110909000,-7.72186,-7.50029,-4.60808,-2.77933,-1.84535,-0.41159,-10.10165,-9.02742,-5.27664,-2.91686,-1.68212
112309000,-7.6526,-7.43678,-4.5703,-2.75388,-1.83343,-0.41385,-9.99981,-8.93919,-5.22742,-2.89702,-1.66823
113709000,-7.58038,-7.35779,-4.52893,-2.73541,-1.82092,-0.41292,-9.91559,-8.84317,-5.17892,-2.86962,-1.65619
115109000,-7.5098,-7.29068,-4.49605,-2.72087,-1.81568,-0.42102,-9.80165,-8.75617,-5.13096,-2.85032,-1.64551
116509000,-7.43834,-7.23257,-4.46207,-2.70296,-1.80949,-0.42022,-9.70394,-8.66456,-5.08614,-2.82555,-1.63505
117909000,-7.37766,-7.16933,-4.42786,-2.68184,-1.80153,-0.42789,-9.61909,-8.58345,-5.04643,-2.81136,-1.63259
119309000,-7.31159,-7.10482,-4.39758,-2.66931,-1.79241,-0.42812,-9.52431,-8.49187,-5.00391,-2.78719,-1.61651
120709000,-7.25073,-7.03113,-4.35885,-2.64602,-1.77755,-0.42778,-9.44717,-8.42741,-4.96343,-2.77579,-1.61415
122110000,-7.18016,-6.97852,-4.33027,-2.63027,-1.77262,-0.43446,-9.35962,-8.34633,-4.92094,-2.75515,-1.60812
123510000,-7.12294,-6.9169,-4.30113,-2.61808,-1.76271,-0.43809,-9.27528,-8.2714,-4.88692,-2.7396,-1.60406
124910000,-7.04638,-6.85369,-4.26752,-2.59467,-1.75307,-0.43144,-9.19059,-8.19399,-4.84468,-2.72228,-1.59901
126310000,-6.9931,-6.80979,-4.23838,-2.5851,-1.74792,-0.44039,-9.10021,-8.12147,-4.80788,-2.70553,-1.59312
127710000,-6.93415,-6.73256,-4.19783,-2.56784,-1.73333,-0.43825,-9.01364,-8.03275,-4.76191,-2.67888,-1.57825
129110000,-6.87193,-6.68216,-4.17155,-2.55159,-1.72616,-0.44433,-8.93789,-7.96341,-4.72792,-2.6602,-1.56852
130510000,-6.81802,-6.63326,-4.1485,-2.547,-1.72472,-0.45368,-8.85623,-7.90383,-4.69192,-2.64554,-1.57468
131910000,-6.77283,-6.58158,-4.1268,-2.53695,-1.7245,-0.46677,-8.7703,-7.81757,-4.64312,-2.61902,-1.55618
133310000,-6.7002,-6.51679,-4.08216,-2.50419,-1.70605,-0.45377,-8.70665,-7.7591,-4.62035,-2.6214,-1.56105
134711000,-6.64496,-6.46471,-4.05517,-2.49482,-1.69676,-0.4593,-8.62486,-7.69014,-4.58209,-2.59788,-1.54939
136111000,-6.59044,-6.41843,-4.03364,-2.48662,-1.69758,-0.47136,-8.56301,-7.61889,-4.54113,-2.5813,-1.54545
137511000,-6.53165,-6.36252,-3.99665,-2.46496,-1.68237,-0.46302,-8.49222,-7.56612,-4.51998,-2.56756,-1.54611
138911000,-6.48281,-6.31088,-3.97393,-2.45178,-1.68053,-0.4712,-8.4187,-7.49384,-4.47675,-2.55489,-1.53814
140311000,-6.43727,-6.26383,-3.94538,-2.44078,-1.67489,-0.47504,-8.35332,-7.42548,-4.45152,-2.53719,-1.52845
141711000,-6.37402,-6.20582,-3.91233,-2.42132,-1.66025,-0.4716,-8.27775,-7.36959,-4.40622,-2.51701,-1.52172
143111000,-6.33653,-6.16528,-3.89507,-2.41635,-1.66477,-0.48572,-8.21978,-7.30905,-4.37858,-2.5064,-1.51914
144511000,-6.28869,-6.11521,-3.86902,-2.40952,-1.66165,-0.48921,-8.15027,-7.25161,-4.35264,-2.49584,-1.51899
145911000,-6.23871,-6.06518,-3.83751,-2.39216,-1.65153,-0.49147,-8.08756,-7.20094,-4.31836,-2.48088,-1.51365
147312000,-6.18776,-6.02382,-3.81612,-2.38194,-1.65153,-0.49997,-8.01404,-7.13124,-4.28075,-2.46222,-1.50264
148712000,-6.14109,-5.98356,-3.79337,-2.37247,-1.64909,-0.50554,-7.95927,-7.07873,-4.24965,-2.45038,-1.50247
150112000,-6.09781,-5.9384,-3.76768,-2.36066,-1.64087,-0.51004,-7.89324,-7.0162,-4.21801,-2.43169,-1.49398
151512000,-6.0404,-5.88389,-3.73907,-2.34154,-1.62782,-0.50388,-7.83344,-6.96166,-4.19677,-2.42857,-1.49623
152912000,-6.00942,-5.84333,-3.71911,-2.33654,-1.62648,-0.51461,-7.77489,-6.90661,-4.16183,-2.41006,-1.48602
154312000,-5.96458,-5.80828,-3.69213,-2.32614,-1.62652,-0.52208,-7.71452,-6.85416,-4.13647,-2.40142,-1.48732
155712000,-5.92037,-5.76424,-3.67338,-2.31798,-1.62551,-0.52806,-7.65318,-6.80516,-4.1082,-2.38964,-1.48412
157112000,-5.86845,-5.71551,-3.64882,-2.30333,-1.61123,-0.52872,-7.59312,-6.74163,-4.07443,-2.37206,-1.47745
158512000,-5.83606,-5.68176,-3.63121,-2.29785,-1.61163,-0.54016,-7.54669,-6.6993,-4.05364,-2.36299,-1.47865
159913000,-5.78416,-5.63815,-3.60498,-2.28295,-1.60711,-0.5406,-7.48297,-6.64377,-4.02032,-2.34951,-1.47274
161313000,-5.73918,-5.59432,-3.57864,-2.27212,-1.59759,-0.54001,-7.43003,-6.59273,-3.99695,-2.33838,-1.47329
162713000,-5.70932,-5.56518,-3.57167,-2.27293,-1.60501,-0.56042,-7.38217,-6.55033,-3.97659,-2.33576,-1.47672
